log_no,url,title,published,status,error,body_hash,notes
60104707551,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60104707551&categoryNo=982,"모바일 UI 만들기 - 안녕, 제이쿼리 모바일 (jQuery Mobile)",2010. 4. 1. 23:34,full-text,,73f454ec38fe9fbd2d8df8402003e935d74a157928c13556b2d7e5ee299550b8,1
60104708605,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60104708605&categoryNo=982,웹 페이지 전환 - 페이지를 추가하고 페이지를 이동해 보자,2010. 4. 1. 23:53,full-text,,198f5c53164414518b9879dec8124a9b33ac1c04f3342056f5c91cf9c87a15f0,1
60104708823,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60104708823&categoryNo=982,페이지 전환효과 - jQuery Mobile 페이지 전환 예제,2010. 4. 1. 23:58,full-text,,17aa5cecd37543b94a7a5f2ce071a55f25d3b58e24699cc41da18bc8256693f5,1
60104709735,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60104709735&categoryNo=982,다이얼로그 화면 - 간단하게 다이얼로그 화면 만드는 법,2010. 4. 2. 0:17,full-text,,6c50a17b2c391b3759bf24d9966635f6d9ec880b11e1c8413a429a895893b10f,1
60104710052,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60104710052&categoryNo=982,버튼 구현 - 버튼을 만드는 3가지 방법,2010. 4. 2. 0:25,full-text,,5cf3c0ff23519c7a3a23ce98a2c6a8587d4cfa54f89bbc13c5ef6309b66511e3,1
60104710160,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60104710160&categoryNo=982,버튼 그룹  - 버튼 그룹으로 일관된 UI 구현,2010. 4. 2. 0:27,full-text,,e521cfa69f186e5f69e069b232043a5c36a7b5bf85e6d2a1e72d2ca6fff96d5b,1
60104710386,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60104710386&categoryNo=982,네비게이션바  - 상단과 하단에 네비게이션을 배치,2010. 4. 2. 0:32,full-text,,2666a5915a226b66ebcf8b598c7c1ca46141b99bfe8287950a5307aa21d96b0b,1
60104812576,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60104812576&categoryNo=982,리스트뷰 - 리스트뷰로 정보를 깔끔하게 정리,2010. 4. 3. 21:59,full-text,,65ab795779f9a128567006b292e50aa38c0eb6ae9250fd5e69611375efc099c0,1
60104898965,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60104898965&categoryNo=982,리스트뷰 확장 - 리스트 항목을 직관적으로 보여주기,2010. 4. 5. 11:37,full-text,,fc3bb4466546d3c0e594824099d9b206a88e355d172aa694e27b415a721e2e5c,1
60104906837,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60104906837&categoryNo=982,검색 리스트뷰 - 리스트뷰에 검색 기능을 추가하는 방법,2010. 4. 5. 14:20,full-text,,d379c950ecab77ed17ae6c9b4465c085262aad72ed824ebd500fa638d0f2de19,1
60104913114,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60104913114&categoryNo=982,사용자입력  - 다양한 입력 UI를 한 번에 구성하는 방법,2010. 4. 5. 16:15,full-text,,16b7c5970599381ff251f407fa7e2798ce2bf688c16ca11ec819e14036ae9586,1
60104913472,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60104913472&categoryNo=982,아코디언 - 여러 콘텐츠를 효율적으로 관리하는 UI,2010. 4. 5. 16:20,full-text,,a4a6b33ba52fe3a9c85bd03cf983cd6c0a3d89fa740905856f9b320543a4eeb2,1
60104913601,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60104913601&categoryNo=982,입력폼 설계 - 다양한 모바일 UI 컴포넌트를 표현,2010. 4. 5. 16:22,full-text,,526b9960b1baba33404c283e9b54fae2e0ea2b126e9ec55d1f31391fd9d85ddb,1
60104913737,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60104913737&categoryNo=982,다양한 선택항목 - 라디오 버튼부터 체크박스까지,2010. 4. 5. 16:24,full-text,,58709f713487b20871579ae27d01f81ce39246999fcc9ec87afdbd448004c030,1
60104913876,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60104913876&categoryNo=982,버튼과 리스트 - 버튼부터 리스트까지 컴포넌트 정리,2010. 4. 5. 16:26,full-text,,97fb20643141e7052012b2e6592d0d7cc529f086e76c3b70525fafd6dd4c61b1,1
60104914123,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60104914123&categoryNo=982,접기 펼치기 - 아코디언 메뉴를 쉽게 구현하기,2010. 4. 5. 16:29,full-text,,f9d6cb935185ab12a90d6d29847c5d433bc2d32150370d90a9651aae2ec345f6,1
60105144489,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60105144489&categoryNo=982,테이블 컬럼 - 팝업과 테이블을 활용한 실전 UI 예제,2010. 4. 9. 13:53,full-text,,adab4a9c3b3f55e50470409ee9960b8949f9d96f687eb8b4a405aba0913f593b,1
60105155691,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60105155691&categoryNo=982,패널 UI와 JSON - JSON 데이터 목록 출력 예제,2010. 4. 9. 17:19,full-text,,e377fb4eb78a3af21001c9718a0b2f9b30f7250459d5c20c1e9f72debbe28466,1
60179016124,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60179016124&categoryNo=982,TIOBE Index - TIOBE 프로그래밍 언어별 순위 (2009 ~ 2012년),2012. 12. 28. 4:36,full-text,,58faf2df4d470204ead0de2ffa3f6fd7302427770b08ac2341d635cf8bea7d3e,1
220013902457,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220013902457&categoryNo=982,프로그래밍 언어 인기 - GitHub와 StackOverflow 지표는 무엇을 말할까,2014. 5. 29. 1:34,full-text,,9607e39a2814232c369338dc4e8f18d9c891641fe91647b8bee4bd4811da6fbc,1
220046141434,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220046141434&categoryNo=982,라즈베리 파이 - 손바닥 위 작은 컴퓨터 (Model B),2014. 6. 30. 22:08,full-text,,1158f420567c7b6f89f00e4f8a35c85d059bef3c91eed8a10f24ed06eb301045,1
220052986004,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220052986004&categoryNo=982,라즈베리 파이 - 다양한 색깔의 PIBOW 케이스,2014. 7. 7. 17:24,full-text,,d2a0574a270e217c95e0961ab03372788009a2f2e92502bb3b556a2b0ddbe813,1
220053709151,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220053709151&categoryNo=982,라즈베리 파이 - 속이 훤히 보이는 투명 케이스,2014. 7. 8. 11:15,full-text,,eb294436e6d3f409b0bd5e207722765bac3612d65204daf0066f331e8bdffb9d,1
220053919079,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220053919079&categoryNo=982,라즈베리 파이 - microSD Adapter H (수평 어댑터),2014. 7. 8. 14:46,full-text,,d5f91f4453be3056cff48ea10a35c3add03db2ca3d589997dca4ba97ae2f79c9,1
220056338878,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220056338878&categoryNo=982,라즈베리 파이 - LED On/Off 실험,2014. 7. 10. 18:13,full-text,,0f47d9cd131ee1c7a1fa0051b6958fec94cc4963b4d1313557a1ea8b480d9bfb,1
220057903425,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220057903425&categoryNo=982,라즈베리 파이 - 3Color LED 실험,2014. 7. 12. 10:13,full-text,,117f016dae9f27975e9589a87558a1f8524b1d9cfba0cbdc845f28450ecffe69,1
220059849005,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220059849005&categoryNo=982,라즈베리 파이 - GPIO 확장모듈 만들기,2014. 7. 14. 14:26,full-text,,ccac2f9e145a05b08bb2545f7672a9a4acef74f9207f35a8d231590b27630389,1
220061532261,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220061532261&categoryNo=982,라즈베리 파이 - 파이 Model B+ 출시,2014. 7. 15. 23:48,full-text,,ac52a6d8509249ce366386a37581d7e8962cb17c478fb249645f6adfde34bfb7,1
220063945453,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220063945453&categoryNo=982,TIOBE Index - TIOBE 프로그래밍 언어별 순위 (2014년 7월 기준),2014. 7. 18. 10:11,full-text,,d4f3ca9f5837d75827a95503145ef2edf8784e575b34750d47633cd45be6accf,1
220067224112,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220067224112&categoryNo=982,라즈베리 파이 - RPi Control Center (Raspcontrol),2014. 7. 21. 18:34,full-text,,f8283aa4a6269a45565ca127ac4494ff3cbd353118407940a62723112afe0a2f,1
220068579278,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220068579278&categoryNo=982,라즈베리 파이 - 삼바 연결 (Samba),2014. 7. 22. 22:20,full-text,,bb20e3f7e7dcb3b68cfd74afa3881e0631d1ce02c3c22767a7ae4bdbee474e36,1
220072299260,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220072299260&categoryNo=982,"아두이노 우노 - 구입, 도착, 개봉, IDE 설치, 실행",2014. 7. 26. 11:17,full-text,,a12acb9360ef72189aec8bbdaf0b6519be057e58909ce90d2a146bb893eb2f66,1
220072443204,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220072443204&categoryNo=982,아두이노 우노 - 브레드보드와 함께 나무판에 고정,2014. 7. 26. 14:34,full-text,,13ce5611bbeca8c9858b66f344a661ce6b510966159c1d01d6213771b274b914,1
